collection_id,collection_name,author_name_ko,author_name_hanja,ja,ho,dynasty,birth_year,death_year,confidence,note
0001,계원필경집,최치원,崔致遠,고운(孤雲),고운(孤雲)/해운(海雲),신라,857,908,high,통일신라 말 학자; 문집총간 편찬범위상 최초 수록 인물. 지침상 dynasty를 고려/조선 중 택해야 하나 실제로는 신라(통일신라) 인물이라 '신라'로 기재함. 자/호 표기가 문헌마다 다름(고운·해운 모두 사용됨)
0002,고운집,최치원,崔致遠,고운(孤雲),고운(孤雲)/해운(海雲),신라,857,908,high,계원필경집과 별개로 최치원의 귀국 후 저작 및 사산비명 이외 시문을 모은 습유(拾遺) 성격의 문집. dynasty는 0001과 동일 사유로 '신라'로 기재
0003,서하선생집,임춘,林椿,기지(耆之),서하(西河),고려,,,medium,생몰년 미상(12세기 후반 활동으로 추정); 고려 무신정권기 죽림고회(竹林高會) 일원
0004,동국이상국집,이규보,李奎報,춘경(春卿),백운거사(白雲居士)/삼혹호선생(三酷好先生),고려,1168,1241,high,
0005,매호유고,진화,陳澕,,매호(梅湖),고려,,,medium,"정확한 생몰년 미상; 13세기 초 이규보와 시명을 나란히 하여 한림별곡에 병칭됨(""이정언 진한림 쌍운주필"")"
0006,남양시집,백분화,白賁華,,남양(南陽)/참선거사(參禪居士),고려,1179,1224,high,고려 후기 문신; 문집에 이규보가 지은 묘지명이 부기됨
0007,지포집,김구,金坵,,지포(止浦),고려,1211,1278,high,
0008,동안거사집,이승휴,李承休,휴휴(休休),동안거사(動安居士),고려,1224,1300,high,제왕운기(帝王韻紀) 저자
0009,홍애유고,홍간,洪侃,,홍애(洪厓)/홍애(洪崖),고려,,1304,high,생년 미상; 고려 12대가(十二大家) 중 한 명으로 시명을 떨쳤으나 유고 대부분 산일되어 후대에 여러 문헌에서 시를 채록해 편찬
0010,근재집,안축,安軸,당지(當之),근재(謹齋)/무릉(武陵),고려,1282,1348,high,
0011,익재난고,이제현,李齊賢,중사(仲思),익재(益齋)/역옹(櫟翁),고려,1287,1367,high,
0013,급암집,민사평,閔思平,,급암(及庵),고려,1295,1359,high,
0014,가정집,이곡,李穀,중보(仲父),가정(稼亭),고려,1298,1351,high,목은 이색의 부친
0015,설곡집,정포,鄭誧,,설곡(雪谷),고려,1309,1345,high,
0016,제정집,이달충,李達衷,,제정(霽亭),고려,1309,1385,high,
0017,담암일집,백문보,白文寶,화보(和父),담암(淡庵),고려,1303,1374,high,
0018,둔촌잡영,이집,李集,호연(浩然),둔촌(遁村)/묵암자(墨庵子),고려,1327,1387,high,
0019,야은일고,전록생(전녹생),田祿生,맹경(孟耕),야은(壄隱),고려,1318,1375,high,호 야은(壄隱)은 조선 개국 후 절의를 지킨 길재의 호 야은(冶隱)과 한자가 달라 서로 다른 인물이므로 혼동 주의
0020,목은집,이색,李穡,영숙(潁叔),목은(牧隱),고려말조선초,1328,1396,high,이곡의 아들; 조선 개국 후에도 절의를 지켜 벼슬하지 않았으나 몰년이 조선 건국 이후(1396)라 '고려말조선초'로 분류
0021,원재고,정추,鄭樞,,원재(圓齋),고려,1333,1382,high,본명 정추(鄭樞); 후에 정공권(鄭公權)으로 개명
0022,송은집,박익,朴翊,태시(太始),송은(松隱),고려말조선초,1332,1398,high,본명 천익(天翊). '송은'을 호로 쓴 인물이 여럿 있어 동명이인 주의 필요하나; 몰년(1398) 및 여말선초 활동 시기상 이 시기 문집총간 수록본은 박익 저작으로 확인됨
0023,유향시집,한수,韓脩,,유항(柳巷),고려,1333,1384,high,정식 서명은 '유항시집(柳巷詩集)'(柳巷을 '유항'으로 읽음); 질의된 '유향시집' 표기와 한자독음 차이 있음
0024,삼봉집,정도전,鄭道傳,종지(宗之),삼봉(三峰),고려말조선초,1342,1398,high,조선 개국 1등공신; 조선 통치이념 설계자
0025,포은집,정몽주,鄭夢周,달가(達可),포은(圃隱),고려,1337,1392,high,조선 건국(1392년 7월) 이전인 1392년 4월 이방원 세력에게 피살되어 고려로 분류
0026,척약재학음집,김구용,金九容,경지(敬之),척약재(惕若齋),고려,1338,1384,high,
0027,독곡집,성석린,成石璘,자수(自修),독곡(獨谷),고려말조선초,1338,1423,high,고려말 및 조선 초 양조에서 모두 재상을 지냄
0028,운곡행록,원천석,元天錫,자정(子正),운곡(耘谷),고려말조선초,1330,,high,몰년 미상; 조선 태종 이방원의 어린 시절 스승으로 알려져 있으나 조선 출사를 거부하고 은거
0029,경렴정집,탁광무,卓光茂,,경렴정(景濂亭),고려말조선초,1330,1410,high,
0030,석탄집,이존오,李存吾,순경(順卿),석탄(石灘),고려,1341,1371,high,신돈을 탄핵하다 유배되어 화병으로 요절
0031,쌍매당협장집,이첨,李詹,중숙(中叔),쌍매당(雙梅堂),고려말조선초,1345,1405,high,
0032,송당집,조준,趙浚,명중(明仲),송당(松堂)/우재(吁齋),고려말조선초,1346,1405,high,조선 개국 1등공신. '송당'을 호로 쓴 후대 인물(예: 16세기 박영(朴英); 1471-1540)과 동명이나 문집총간 6집 수록 송당집은 여말선초 조준의 저작으로 확인됨(질의에서 명시된 대표적 표제 중의성 사례)
0033,호정집,하륜,河崙,대림(大臨),호정(浩亭),고려말조선초,1347,1416,high,
0034,도은집,이숭인,李崇仁,자안(子安),도은(陶隱),고려,1347,1392,high,정몽주와 가까운 시기(1392년) 정도전 세력에 의해 처형됨; 조선 건국(1392년 7월) 이전이라 고려로 분류
0035,구정유고,남재,南在,경지(敬之),구정(龜亭),고려말조선초,1351,1419,high,"초명은 겸(謙)이며 태조의 명으로 재(在)로 개명; 조선 개국공신, 시호 충경(忠景)"
0036,양촌집,권근,權近,사숙(思淑),양촌(陽村),고려말조선초,1352,1409,high,고려말 학자이자 조선 건국 초 핵심 문신; 시호 문충(文忠)
0037,기우집,이행,李行,주도(周道),백암(白巖)/기우자(騎牛子),고려말조선초,1352,1432,high,소를 타고 다닌다 하여 호를 기우자(騎牛子)라 함
0038,야은집,길재,吉再,재보(再父),야은(冶隱)/금오산인(金烏山人),고려말조선초,1353,1419,high,고려 삼은(三隱)의 한 사람; 조선 개국 후 출사를 거부하고 은거
0039,복재집,정총,鄭摠,만석(曼碩),복재(復齋),고려말조선초,1358,1397,high,시호 문민(文愍); 정도전과 함께 고려사 편찬
0040,인재유고,이종학,李種學,중문(仲文),인재(麟齋),고려말조선초,1361,1392,high,목은 이색(李穡)의 아들; 호가 麟齋(인재)로 0046 寅齋(신개)·강희안의 仁齋와 한글 표기가 같아 혼동 주의
0041,형재시집,이직,李稷,우정(虞庭),형재(亨齋),고려말조선초,1362,1431,high,"조선 개국 3등공신, 영의정 역임; 시호 문경(文景)"
0042,용헌집,이원,李原,차산(次山),용헌(容軒),고려말조선초,1368,1429,high,본관 고성(固城); 좌의정 역임
0043,춘정집,변계량,卞季良,거경(巨卿),춘정(春亭),조선,1369,1430,high,조선 초 대표 관각문인; 시호 문숙(文肅)
0044,별동집,윤상,尹祥,실부(實夫),별동(別洞),조선,1373,1455,high,"초명 철(哲); 정몽주 학통을 이은 성리학자, 세종대 성균관에서 강학"
